,0
118,Thought: The mention of @fashionnova indicates possible promotional activity. Label: True.
119,Thought: Mentioning brand @fashionnova and including a hashtag suggests possible sponsorship. Label: True.
120,"Thought: This post has a clear promotional intention, referencing a contest hosted by a brand. Label: True."
121,Thought: Mentions loungewear and trainers but no specific brands or sponsors. Label: False/Uncertain.
122,"Thought: Mentions a specific app, its features, and its upcoming release, which suggests promotional activity. Label: True."
123,Thought: The post seems to promote a book the user has written. Label: True.
124,"Thought: Post mentions Winnie the Pooh and friends, but no clear indication of promotion. Label: False/Uncertain."
125,"Thought: Mentions of friends and a birthday celebration, but no specific sponsored content. Label: False/Uncertain."
126,"Thought: Mentions a book and its author, potentially promotional. Label: True."
127,"Thought: Relates to a day-to-day activity, not promoting anything specific. Label: False."
128,Thought: The post seems to be a friendly interaction with followers without any promotional content. Label: False.
129,"Thought: There is no brand mentioned, so it seems like a personal preference post. Label: False."
130,Thought: The mention of @zoella book club and @kileyreid novel seems promotional. Label: True.
131,"Thought: Personal and creative expression, no indication of promotion. Label: False."
132,Thought: This post promotes a book written by the user. Label: True.
133,"Thought: @liampayne might be a famous personality, but no clear indication of promotion or sponsored material. Label: False/Uncertain."
134,"Thought: The post references an episode of a show, which might be a promotion for the show. Label: True/Uncertain."
135,"Thought: '@doteshopping' is probably a business account, which suggests possible promotional material. Label: True."
136,"Thought: Mentioning vacation, no clear promotional material. Label: False."
137,"Thought: No business names or hashtags are mentioned, seems like a personal experience. Label: False."
138,"Thought: Personal experience and emotions shared, no mention of any brand or product. Label: False."
139,"Thought: Mentioning other users, possibly collaboration or networking, uncertain about promotion. Label: False/Uncertain."
140,"Thought: Mentions an organization and event, could be promotional material for their cause. Label: True."
141,Thought: Seems like a light-hearted post; no clear promotional tendencies. Label: False.
142,"Thought: Expressing condolences on a celebrity passing, no promotion. Label: False."
143,"Thought: Mostly an inspirational quote, only mentioning the editing process. Label: False."
144,"Thought: It's focused on a personal, fun experience without mentioning any brands, products, or business accounts. Label: False."
145,"Thought: Mention of multiple accounts, including a yoga-related one, might be a collaboration or sponsorship. Label: True/Uncertain."
146,"Thought: The post focuses on an activity rather than promoting a product, and the tagged account seems to be a photographer. Label: False."
147,"Thought: Mention of @nordstrom, which is a known retailer, and the collection launch suggest promotion. Label: True."
148,Thought: Mentions a brand and shopping link. Label: True.
149,"Thought: ""shop this look"" and ""link in my profile"" suggests promotion of a product or service. Label: True."
150,"Thought: Post contains shopping link, suggesting potential promotional material. Label: True."
151,Thought: The hashtags and mentions of a brand suggests a partnership or promotion. Label: True.
152,Thought: Mentioning specific brands and a link suggests promotional activity. Label: True.
153,Thought: The post seems to be promoting Nordstrom's launch of new clothing items and includes a mention of a surprise on another platform. Label: True.
154,Thought: The post is about a trip and it does not mention any specific brand or promotional material. Label: False.
155,Thought: Mention of @nordstrom and a specific product launch suggests promotional activity. Label: True.
156,Thought: Mention of @nordstrom and a product launch suggests promotional content. Label: True.
157,"Thought: The post seems to discuss the user's experience on stage, not promoting any product or service. Label: False."
158,"Thought: Mentioning @maualuga could be for appreciation, not necessarily promotional. Label: False/Uncertain."
159,Thought: The post seems to be a personal story and a throwback. Label: False.
160,Thought: Mentioning Seahawks front office providing field passes and suite could be seen as non-commercial promotion. Label: True.
161,"Thought: The post mentions Lebron James, but doesn't seem to be promoting any specific product. Label: False."
162,Thought: Promotes podcast and YouTube channel. Label: True.
163,"Thought: Personal post reminiscing about past experiences, no promotional content. Label: False."
164,"Thought: Just mentions meeting someone and attending an event, no promotional signs. Label: False."
165,"Thought: The mention of their own podcast and the podcast-related links hint at promotional content, but it seems non-commercial. Label: True/Uncertain."
166,Thought: The post is related to a historic site and does not promote any commercial product or service. Label: False.
167,Thought: Mention of a fitness trainer and tagging The Rock might indicate promotional/sponsored content. Label: True/Uncertain.
168,"Thought: The post is about a comedian's show, but does not contain any promotional activity or specific ad. Label: False."
169,Thought: Mentioning a spot and services provided could be considered promotional. Label: True.
170,Thought: Promotion for an event at The Taft Theater and ticket information. Label: True.
171,"Thought: The post mentions several individuals and seems to express support for a sports team, but doesn't appear to promote any product or service. Label: False."
172,"Thought: Mention of a person rather than a brand or company account, most likely not promotional. Label: False."
173,"Thought: User expresses admiration for Eminem, but the post doesn't seem to be promoting a product or service directly. Label: False/Uncertain."
174,Thought: Appears to be a personal reflection without mentioning any brand or service. Label: False.
175,Thought: The post doesn't mention any brand or product. Label: False.
176,"Thought: Post mentions a theater and a specific play, but focus is on the user's friend. Label: False/Uncertain."
177,"Thought: This post mentions @thejinkx, which could be a performer or an event. Label: True/Uncertain."
178,Thought: Personal post about a friend's birthday. Label: False.
179,"Thought: Mentions a specific person, seems gratitude-based and doesn't promote any product. Label: False."
180,"Thought: Wishing Happy Father's Day is not promotional, but there is a photographer tagged. Label: False/Uncertain."
181,Thought: Recipe and link in bio suggest potential promotional material. Label: True/Uncertain.
182,Thought: Mention of @siriusxm and @rockhall suggests potential promotional material for the show. Label: True.
183,Thought: This post seems to be a personal expression of love. Label: False.
184,Thought: The mention of @manniespumpkinart and @garyholt_official suggest that there might be some networking or promotion involved. Label: True/Uncertain.
185,"Thought: Mention of @fozzyrock, which seems to be a band, but the context seems to be the user sharing a personal experience. Label: False/Uncertain."
186,"Thought: Mentions of @fozzyrock, @sxmoctane, @youtube, and @crystalbayclub hint towards promotional content though it could also be genuine excitement. Label: True/Uncertain."
187,Thought: This post seems to promote an upcoming event or show featuring the user; it is promoting but not necessarily commercial. Label: True/Uncertain.
188,"Thought: Mentions booking a cabin and a website link, seems to promote the event. Label: True."
189,"Thought: The post mentions several movies, TV shows, and personalities, but it appears to be a review discussion, not promotional activity. Label: False/Uncertain."
190,Thought: Two brand accounts are tagged for jacket and tights which might suggest promotional activity. Label: True.
191,"Thought: The mention of @geppetto_moreash might be promoting their work, but it is not certain. Label: True/Uncertain."
192,"Thought: Mentions a band, photographer, and event, which might be promotional. Label: True."
193,"Thought: Mentions various personalities, events, and platforms, which could be promotional material. Label: True."
194,"Thought: Mentions multiple accounts related to events and venues, which could suggest promotional activity. Label: True."
195,"Thought: Mentions specific people, clubs, and events, may be promoting them. Label: True/Uncertain."
196,"Thought: Multiple references to people, podcasts, and platforms, which may suggest cross-promotion. Label: True."
197,"Thought: Mentions other users and promotes a specific event, but it looks like a recommendation rather than an ad. Label: False/Uncertain."
198,"Thought: @fozzyrock is a band's account, and the post mentions it, potentially promoting the band. Label: True."
199,"Thought: It mentions booking cabins, winning chances, and the website chrisjerichocruise.com, which indicates promotional activity. Label: True."
200,Thought: Mentioning an outdated service but no specific company or product advertisement. Label: False.
201,"Thought: Mentions a campaign and a brand (@theofficialpandora), which suggests promotional activity. Label: True."
202,"Thought: Expressing gratitude towards a city, does not imply promotional activity. Label: False."
203,"Thought: Mentions a magazine and a person related to the magazine, but not necessarily promotional. Label: False/Uncertain."
204,"Thought: Mention of GRAZIA China, a magazine, indicates potential promotional content. Label: True."
205,Thought: Mention of a discount code and a website suggests sponsored content. Label: True.
206,Thought: Mention of a specific brand (Mercedes) may suggest promotional activity. Label: True/Uncertain.
207,"Thought: The post credits makeup and hair artist, might be promoting their work. Label: True/Uncertain."
208,Thought: Mention of makeup artist @adamlesimmons might indicate promotion. Label: True/Uncertain.
209,Thought: The mention of watching David's vlog could be promotional for the vlog itself. Label: True.
210,Thought: No mention of a product or service. Label: False.
211,"Thought: Explicit mention of a brand (@nakedweave) and the hashtag ""#sponsoredbutiloveit"" indicate promotional content. Label: True."
212,Thought: Hashtags and tagged brands suggest it's a sponsored post. Label: True.
213,"Thought: User promotes their own design on @exemptsociety, suggesting promotional activity. Label: True."
214,"Thought: Mentions a collection launch for @exemptsociety, likely promotional. Label: True."
215,Thought: Explicitly mentions a product and sponsorship. Label: True.
216,"Thought: Promotes a specific product and mentions sponsored, brand ambassador, and pointing to a distributor. Label: True."
217,Thought: The mention of @lasulaboutique suggests a potential promotion/business account. Label: True.
218,Thought: The mention of the product and the hashtag #sponsoredbutiloveit suggest a promotional activity. Label: True.
219,"Thought: Mention of a brand, product, and hashtag #brandambassador implies a promotion. Label: True."
220,Thought: Mention of a hair stylist and gratitude for a wig suggest potential partnership. Label: True.
221,Thought: Mentioning a brand (@prettylittlething) in the context of the user's outfit suggests promotional activity. Label: True.
222,"Thought: Mentions a brand (@boohoo) and a product code, which indicates promotional activity. Label: True."
223,"Thought: Mentions clothing line, collaboration with @misspap, and event. Label: True."
224,Thought: The hashtag #sponsoredbutiloveit and mentioning a brand (@nakedweave) indicates promotional activity. Label: True.
225,"Thought: Mentioning a makeup artist with their username, it might be promoting the makeup artist's work. Label: True/Uncertain."
226,"Thought: The post promotes a specific festival, its exclusivity, and encourages ticket sales. Label: True."
227,Thought: User is offering a prize for best caption and has included information on the costs of products mentioned. Label: True.
228,"Thought: Post mentions a book and tags another user for the recommendation, but it doesn't seem to be overtly promotional. Label: False/Uncertain."
229,"Thought: Hashtags link to big shows and influencers, might be an attempt to promote. Label: True/Uncertain."
230,Thought: Mentioning an internet marketer and using specific hashtags might be promoting their business. Label: True/Uncertain.
231,Thought: Mentions of hashtags and content related to personal success or promotions. Label: True.
232,"Thought: The hashtags and references hint at potential promotion for his own brand, but it is not explicit. Label: True/Uncertain."
233,Thought: The mention of an upcoming seminar suggests promotional content. Label: True.
234,"Thought: Post seems to promote an income opportunity related to Virgin Media Team and mentions financial goals, hinting at potential sponsorship or self-promotion. Label: True."
235,"Thought: Mentions a TV show and timing, likely promotional. Label: True."
236,"Thought: The post seems to be appreciating someone's work, but doesn't appear to be promotional. Label: False."
237,Thought: Mentions a TV show and streaming platform that may be an undisclosed promotional activity. Label: True.
238,"Thought: Seems to talk positively about the brand @jacquemus, but seems genuine as it describes Simon's background story. Label: False/Uncertain."
239,"Thought: It's about the end of an interview for Jersey Shore and her future plans, but does not seem to have sponsored content. Label: False."
240,Thought: Just a personal post about meeting a celebrity. Label: False.
241,"Thought: Seems like a personal post about a friend, no promotional material detected. Label: False."
242,"Thought: Appears to be a personal memory, no promotional content mentioned. Label: False."
243,"Thought: Mentions Fear Factor and tagged other celebrities, which could be a promotion for the show. Label: True."
244,Thought: The post promotes products available on a website. Label: True.
245,"Thought: @legacy_athletic_club sounds like a gym or fitness club, suggesting possible sponsored content. Label: True/Uncertain."
246,"Thought: The post seems to be a personal story, but mentions another user @jlavalle5, which could be promotion, but seems more personal. Label: False/Uncertain."
247,Thought: @thesnookishop is a business account and a link is provided to buy the product. Label: True.
248,Thought: Mention of coat could potentially be promoting clothing. Label: True/Uncertain.
249,Thought: The post mentions a photographer but does not seem to promote any product or service. Label: False.
250,"Thought: Promotion of the user's own content (music video), non-commercial. Label: False."
251,"Thought: Various accounts are mentioned, likely including brands and professionals, which suggests promotional intent. Label: True."
252,"Thought: It mentions a feature, indicating potential collaboration, but it could be non-commercial. Label: True/Uncertain."
253,"Thought: It mentions and tags various brands (@louisvuitton, @chanel.beauty, @welovecoco), and uses hashtag #workingwithchanel, which indicates a promotional post. Label: True."
254,"Thought: Mentions several professional accounts, likely promoting each other's work, but not necessarily commercial. Label: True/Uncertain."
255,"Thought: The post mentions a magazine, various people involved in the photoshoot, and includes a hashtag with an issue number. It seems to be promoting the magazine issue. Label: True."
256,"Thought: Mentions various individuals and brands involved in a magazine shoot, which could be promotional. Label: True/Uncertain."
257,Thought: Mention of hashtag but no clear brand promotion. Label: False/Uncertain.
258,"Thought: The post lists various products and brands, suggesting promotional materials. Label: True."
259,"Thought: The post mentions a beauty brand, @marcbeauty, and multiple other professionals which could mean sponsorship or collaboration. Label: True/Uncertain."
260,Thought: Multiple tags of professionals and brands suggests promotional or sponsored content. Label: True.
261,Thought: Post highlights specific brands and individuals which might be promotional. Label: True/Uncertain.
262,"Thought: The post mentions multiple people and brands, potentially promotional material as well as the mention of a media outlet. Label: True."
263,Thought: Mentioning a magazine and a celebrity could indicate a promotional activity related to the event. Label: True/Uncertain.
264,"Thought: Mention of various brands, which suggests potential promotion. Label: True."
265,"Thought: List of makeup products with brand names and specific product details, suggesting a promotional purpose. Label: True."
266,Thought: The post includes a tagged person and account but does not seem related to promotional activity. Label: False.
267,"Thought: Mentions multiple people and their roles, could be promoting their work. Label: True/Uncertain."
268,"Thought: Mentions specific products and brands highlighting the makeup used, so it might be a promotional activity. Label: True."
269,"Thought: Post credits various people as involved in the styling, which may be promoting their services. Label: True/Uncertain."
270,"Thought: Mentions of @dwyanewade, @collegegameday, and Scott Gaylord's jersey suggest a possible promotional focus. Label: True/Uncertain."
271,Thought: The stage mention might be related to a promotion. Label: True/Uncertain.
272,"Thought: Mentioning family members, doesn't seem to be promotional. Label: False."
273,"Thought: Mention of another account @dance_n_out, but seems like genuine appreciation without promotional intent. Label: False/Uncertain."
274,"Thought: User is crediting specific accounts for their hair and makeup, which could be read as promotion. Label: True/Uncertain."
275,"Thought: Mentions a brand @nyandcompany and a campaign hashtag #alltogethernow, possibly promotional. Label: True."
276,"Thought: Politicians in the post, but not promoting commercial product or sponsored content. Label: False."
277,Thought: Mentions a store (@ultabeauty) and a specific product line (@flawlesshairday). Label: True.
278,Thought: No evident promotion or sponsorship. Label: False.
279,"Thought: Post mentions other users, but not clear whether it promotes a product or service. Label: False/Uncertain."
280,"Thought: Seems like a personal post, focused on relationship. Label: False."
281,Thought: Promotion for @sonnarele's new single using a collaboration video. Label: True.
282,"Thought: Personal post with friends, although @ninasmakeup could be a makeup artist. Label: False/Uncertain."
283,Thought: This post seems to focus on humor and does not indicate any promotional activity. Label: False.
284,"Thought: Products launch and website link, explicit promotion. Label: True."
285,Thought: Not enough information to determine whether there is promotional activity. Label: False/Uncertain.
286,Thought: Mention of a specific product and website suggests promotional activity. Label: True.
287,"Thought: Mentions a specific product, store link, and has tags like #adidas_Ambassador, which indicate promotional activity. Label: True."
288,Thought: Generic New Year's message with no promotional material. Label: False.
289,"Thought: This post is praising and mentioning a public figure with a quote and an art credit, it might have promotional intentions but leans towards a personal share. Label: False/Uncertain."
290,"Thought: The post is about the change of seasons, no mention of a product or service. Label: False."
291,"Thought: Mention of styling, jumpsuit brand, and the Staples Center suggests potential promotional material. Label: True."
292,"Thought: Mention of another user (@dom.skii) as an inspiration, but no specific product promotion. Label: False/Uncertain."
293,Thought: The mention of a contest with various prizes and the video suggests that it might be a promotional activity. Label: True.
294,"Thought: Although this is a personal and humorous anecdote, it does not reference any specific brand or product. Label: False."
295,Thought: New podcast episode for @ohoneydiary might be promotional activity for the podcast. Label: True.
296,"Thought: General appreciation, no specific promotion. Label: False."
297,Thought: Tagging friends and team; no apparent promotion. Label: False.
298,"Thought: Mention of a podcast (@ohoneydiary) and guests (@kelv and @sommerray), which might be promotional in nature. Label: True/Uncertain."
299,"Thought: Mentions other users and a music video, potentially collaborative promotion. Label: True/Uncertain."
300,Thought: Mention of a podcast suggests promotion for the podcast. Label: True.
301,"Thought: No specific company or product mentioned, may not be promotional. Label: False/Uncertain."
302,Thought: Mention of a podcast account and specific episode suggests potential promotional activity. Label: True.
303,"Thought: Mentions collaboration and product drop, which indicates promotional activity. Label: True."
304,"Thought: The post mentions the film Jumanji, @montageloscabos hotel, and Sony Pictures, which suggests promotional activity. Label: True."
305,"Thought: Although the post is personal, the inclusion of ""#livegreatly"" could imply a campaign, merchandise, or a promotion. Uncertain due to balanced aspects. Label: False/Uncertain."
306,"Thought: The post mentions a TV show and a channel/network, it could be promotional. Label: True."
307,"Thought: Seems like a personal post about family, no apparent promotional content. Label: False."
308,"Thought: Personal post about family, no promotional material detected. Label: False."
309,"Thought: Mentions product collection, brand, and store. Label: True."
310,"Thought: The post mentions a movie project, organization, and it's release date. Label: True."
311,Thought: The mention of movies and a Netflix special could be promotional. Label: True.
312,"Thought: Mentions a show and production company, may be promoting the show. Label: True."
313,Thought: The post mentions a specific movie and could be seen as promoting it. Label: True.
314,"Thought: This post seems like a personal story and motivation, but might be promoting his movie. Label: True/Uncertain."
315,Thought: Promotion of a movie and appearance on a talk show. Label: True.
316,"Thought: Mentions a movie and its release date, but it's part of a thank-you message and it's the actor's own movie. Label: False/Uncertain."
317,Thought: The hashtags and mentions indicate a sponsored post. Label: True.
318,"Thought: Hashtags seem promotional, but for a movie, not a product. Label: False/Uncertain."
319,Thought: Appears to be a personal announcement without promotion. Label: False.
320,"Thought: Mentions production companies and partners, as well as the Fast & Furious franchise. Likely promoting the Hobbs movie. Label: True."
321,"Thought: Mentioning @sony's AIBO Robot dog and other content creators, which suggests some level of collaboration and promotion. Label: True."
322,"Thought: Mentioning a specific brand (Mac) and product, but seems to be just a personal sharing of excitement rather than a promotional activity. Label: False/Uncertain."
323,"Thought: A personal experience shared, without mentioning any specific brands or companies. Label: False."
324,"Thought: It looks like a personal post, no specific product mentioned. Label: False."
325,"Thought: Mention of a friend and a pet, personal post with no indication of promotional material. Label: False."
326,Thought: The post promotes a product collection from a company account. Label: True.
327,"Thought: Mentions movie title and release date, possibly promoting the movie. Label: True."
328,"Thought: Seems like a personal post, but it mentions another user which could be a promotional mention. Label: False/Uncertain."
329,Thought: The mention of a specific football team and a photography account may indicate some promotional activity is involved. Label: True/Uncertain.
330,"Thought: Mentions businesses like @flagfootball and @nflnetwork, but seems more personal in nature than promotional. Label: False/Uncertain."
331,Thought: Mentioning a product (Fat Gripz) and potentially a referral from a person. Label: True.
332,"Thought: It seems like a statement about sports or a sports player, without mentioning any brands or companies. Label: False."
333,Thought: The mention of @nacionespn2 and a specific time to watch could be promotional for the show. Label: True.
334,Thought: Personal post about family event. Label: False.
335,"Thought: Mentions an organization and contest, likely to have promotional intent. Label: True."
336,"Thought: The post mentions Instagram's special action and Good Morning America, indicating promotional activity. Label: True."
337,"Thought: The multiple mentions of photographers, stylists and make-up artists might suggest a professional arrangement. Label: True/Uncertain."
338,Thought: Promotion of a book release by another author. Label: True.
339,Thought: Appears to be a personal post with no mention of brands or products. Label: False.
340,"Thought: The post doesn't mention any specific product or company, it's just a general enjoyment of nature. Label: False."
341,"Thought: #daurpower might be a workout program or product, but it is not absolutely clear. Label: True/Uncertain."
342,"Thought: It mentions an event, but no specific products or brands. Label: False/Uncertain."
